State	Location	% Change in Mortality Rate, 1980-2014
Alabama	Winston County	2462.5
Alabama	Wilcox County	1398.15
Alabama	Washington County	1703.44
Alabama	Walker County	4756.15
Alabama	Tuscaloosa County	3172.45
Alabama	Tallapoosa County	1210.18
Alabama	Talladega County	1500.27
Alabama	Sumter County	1437.5
Alabama	Shelby County	2223.98
Alabama	Saint Clair County	3024.72
Alabama	Russell County	705.77
Alabama	Randolph County	1155.6
Alabama	Pike County	836.97
Alabama	Pickens County	2265.88
Alabama	Perry County	2006.28
Alabama	Morgan County	2369.49
Alabama	Montgomery County	734.82
Alabama	Monroe County	1362.6
Alabama	Mobile County	1730.59
Alabama	Marshall County	2325.3
Alabama	Marion County	1537.07
Alabama	Marengo County	1422.37
Alabama	Madison County	1374.73
Alabama	Macon County	1327.69
Alabama	Lowndes County	1045.22
Alabama	Limestone County	1347.89
Alabama	Lee County	752.19
Alabama	Lawrence County	2539.51
Alabama	Lauderdale County	1950.8
Alabama	Lamar County	1883.2
Alabama	Jefferson County	2508.44
Alabama	Jackson County	1778.98
Alabama	Houston County	1162.07
Alabama	Henry County	781.63
Alabama	Hale County	1593.96
Alabama	Greene County	1744.09
Alabama	Geneva County	714.48
Alabama	Franklin County	2948.02
Alabama	Fayette County	3549.05
Alabama	Etowah County	1917.45
Alabama	Escambia County	1333.14
Alabama	Elmore County	1214.95
Alabama	DeKalb County	1768.2
Alabama	Dallas County	1040.08
Alabama	Dale County	1058.94
Alabama	Cullman County	4114.92
Alabama	Crenshaw County	895.54
Alabama	Covington County	810.09
Alabama	Coosa County	2127.95
Alabama	Conecuh County	1238.54
Alabama	Colbert County	1714.06
Alabama	Coffee County	775.62
Alabama	Cleburne County	1630.81
Alabama	Clay County	1473.68
Alabama	Clarke County	1294.84
Alabama	Choctaw County	1306.07
Alabama	Chilton County	1520.37
Alabama	Cherokee County	1678.21
Alabama	Chambers County	1200.14
Alabama	Calhoun County	1293.8
Alabama	Butler County	957.13
Alabama	Bullock County	781.57
Alabama	Blount County	3014.08
Alabama	Bibb County	2344.39
Alabama	Barbour County	722.06
Alabama	Baldwin County	1795.87
Alabama	Autauga County	998.81
Alaska	Yukon-Koyukuk Census Area	393.65
Alaska	Yakutat City and Borough	586.94
Alaska	Wrangell City and Borough	529.44
Alaska	Valdez-Cordova Census Area	647.03
Alaska	Southeast Fairbanks Census Area	455.44
Alaska	Skagway Municipality	586.94
Alaska	Sitka City and Borough	338.36
Alaska	Prince of Wales-Hyder Census Area	529.44
Alaska	Petersburg Borough	529.44
Alaska	Nome Census Area	236.74
Alaska	Matanuska-Susitna Borough	792.71
Alaska	Lake and Peninsula Borough	826.66
Alaska	Kusilvak Census Area	319.01
Alaska	Kodiak Island Borough	353.24
Alaska	Ketchikan Gateway Borough	529.44
Alaska	Kenai Peninsula Borough	595.16
Alaska	Juneau City and Borough	838.53
Alaska	Hoonah-Angoon Census Area	586.94
Alaska	Haines Borough	559.81
Alaska	Fairbanks North Star Borough	402.57
Alaska	Dillingham Census Area	826.66
Alaska	Denali Borough	393.65
Alaska	Bristol Bay Borough	535.04
Alaska	Bethel Census Area	463.51
Alaska	Anchorage Municipality	505.63
Arizona	Yuma County	623.34
Arizona	Yavapai County	926.71
Arizona	Santa Cruz County	385.79
Arizona	Pinal County	511.29
Arizona	Pima County	684.87
Arizona	Navajo County	1045.2
Arizona	Mohave County	1450.13
Arizona	Maricopa County	678.39
Arizona	La Paz County	623.34
Arizona	Greenlee County	741.53
Arizona	Graham County	787.72
Arizona	Gila County	1051.6
Arizona	Coconino County	755.95
Arizona	Cochise County	800.02
Arizona	Apache County	777.41
Arkansas	Yell County	1845.67
Arkansas	Woodruff County	1309.66
Arkansas	White County	1652.41
Arkansas	Washington County	1607.29
Arkansas	Van Buren County	1901.66
Arkansas	Union County	1230.82
Arkansas	Stone County	1572.68
Arkansas	Sharp County	2104.79
Arkansas	Sevier County	1498.18
Arkansas	Sebastian County	2693.73
Arkansas	Searcy County	1889.42
Arkansas	Scott County	2004.46
Arkansas	Saline County	2367.48
Arkansas	Saint Francis County	952.93
Arkansas	Randolph County	2017.36
Arkansas	Pulaski County	1656.36
Arkansas	Prairie County	1065.53
Arkansas	Pope County	2375.58
Arkansas	Polk County	1570.07
Arkansas	Poinsett County	1685.81
Arkansas	Pike County	1210.62
Arkansas	Phillips County	872.19
Arkansas	Perry County	1611.55
Arkansas	Ouachita County	1137.8
Arkansas	Newton County	2018.3
Arkansas	Nevada County	1171.21
Arkansas	Montgomery County	1574.44
Arkansas	Monroe County	743.45
Arkansas	Mississippi County	2147.87
Arkansas	Miller County	1180.81
Arkansas	Marion County	2594.11
Arkansas	Madison County	2227.29
Arkansas	Lonoke County	1915.61
Arkansas	Logan County	2328.39
Arkansas	Little River County	1609.7
Arkansas	Lincoln County	855.28
Arkansas	Lee County	765.81
Arkansas	Lawrence County	1808.38
Arkansas	Lafayette County	1051.05
Arkansas	Johnson County	2301.04
Arkansas	Jefferson County	1191.7
Arkansas	Jackson County	1800.27
Arkansas	Izard County	2396.46
Arkansas	Independence County	1765.43
Arkansas	Howard County	1453.33
Arkansas	Hot Spring County	1552.43
Arkansas	Hempstead County	1235.51
Arkansas	Greene County	1810.85
Arkansas	Grant County	1721.34
Arkansas	Garland County	1920.64
Arkansas	Fulton County	2229.38
Arkansas	Franklin County	3543.91
Arkansas	Faulkner County	1953.99
Arkansas	Drew County	1009.01
Arkansas	Desha County	903.37
Arkansas	Dallas County	1084.57
Arkansas	Cross County	1409.86
Arkansas	Crittenden County	1191.12
Arkansas	Crawford County	3034.48
Arkansas	Craighead County	1427.12
Arkansas	Conway County	2132.86
Arkansas	Columbia County	1032.51
Arkansas	Cleveland County	929.45
Arkansas	Cleburne County	1399.41
Arkansas	Clay County	1461.15
Arkansas	Clark County	1195.6
Arkansas	Chicot County	922.36
Arkansas	Carroll County	2506.57
Arkansas	Calhoun County	1049.91
Arkansas	Bradley County	820.68
Arkansas	Boone County	1987.63
Arkansas	Benton County	2227.94
Arkansas	Baxter County	2332.89
Arkansas	Ashley County	1071.46
Arkansas	Arkansas County	1053.33
California	Yuba County	435.8
California	Yolo County	304.83
California	Ventura County	405.85
California	Tuolumne County	828.22
California	Tulare County	166.68
California	Trinity County	719.88
California	Tehama County	677.18
California	Sutter County	449.1
California	Stanislaus County	410.56
California	Sonoma County	381.6
California	Solano County	432.5
California	Siskiyou County	744.9
California	Sierra County	999.02
California	Shasta County	965.37
California	Santa Cruz County	480.34
California	Santa Clara County	260.07
California	Santa Barbara County	251.23
California	San Mateo County	157.45
California	San Luis Obispo County	292.85
California	San Joaquin County	249.3
California	San Francisco County	159.77
California	San Diego County	177.46
California	San Bernardino County	364.37
California	San Benito County	275.3
California	Sacramento County	457.51
California	Riverside County	327.1
California	Plumas County	1378.46
California	Placer County	330.19
California	Orange County	179.82
California	Nevada County	550.89
California	Napa County	466.91
California	Monterey County	192.68
California	Mono County	413.39
California	Modoc County	1073.4
California	Merced County	280.31
California	Mendocino County	622.9
California	Mariposa County	454.09
California	Marin County	236.21
California	Madera County	323.99
California	Los Angeles County	68.71
California	Lassen County	917.28
California	Lake County	955.13
California	Kings County	241.75
California	Kern County	556.19
California	Inyo County	577.88
California	Imperial County	241.57
California	Humboldt County	614.6
California	Glenn County	1033.18
California	Fresno County	254.92
California	El Dorado County	784.38
California	Del Norte County	439.13
California	Contra Costa County	294.9
California	Colusa County	397.06
California	Calaveras County	350.42
California	Butte County	1274.98
California	Amador County	741.11
California	Alpine County	758.95
California	Alameda County	156.07
Colorado	Yuma County	622.53
Colorado	Weld County	797.22
Colorado	Washington County	766.18
Colorado	Teller County	1068.33
Colorado	Summit County	794.47
Colorado	Sedgwick County	822.04
Colorado	San Miguel County	566.37
Colorado	San Juan County	636.38
Colorado	Saguache County	825.53
Colorado	Routt County	1001.3
Colorado	Rio Grande County	753.8
Colorado	Rio Blanco County	1232.79
Colorado	Pueblo County	1177.89
Colorado	Prowers County	1112.07
Colorado	Pitkin County	399.62
Colorado	Phillips County	830.44
Colorado	Park County	990.03
Colorado	Ouray County	624.61
Colorado	Otero County	1677.38
Colorado	Morgan County	969.75
Colorado	Montrose County	827.22
Colorado	Montezuma County	460.33
Colorado	Moffat County	1482.94
Colorado	Mineral County	591.29
Colorado	Mesa County	1012.73
Colorado	Logan County	999.66
Colorado	Lincoln County	1043.13
Colorado	Las Animas County	1537.06
Colorado	Larimer County	1398.31
Colorado	Lake County	745.12
Colorado	La Plata County	330.08
Colorado	Kit Carson County	885.25
Colorado	Kiowa County	1134.22
Colorado	Jefferson County	797.22
Colorado	Jackson County	1795.77
Colorado	Huerfano County	1251.5
Colorado	Hinsdale County	666.81
Colorado	Gunnison County	617.7
Colorado	Grand County	1145.95
Colorado	Gilpin County	1162.27
Colorado	Garfield County	906.32
Colorado	Fremont County	898.84
Colorado	Elbert County	955.02
Colorado	El Paso County	1381.35
Colorado	Eagle County	603.84
Colorado	Douglas County	956.76
Colorado	Dolores County	617.18
Colorado	Denver County	797.22
Colorado	Delta County	782.97
Colorado	Custer County	1120.63
Colorado	Crowley County	1096.67
Colorado	Costilla County	1297.5
Colorado	Conejos County	939.68
Colorado	Clear Creek County	1016.39
Colorado	Cheyenne County	855.32
Colorado	Chaffee County	712.82
Colorado	Broomfield County	797.22
Colorado	Boulder County	797.22
Colorado	Bent County	1428.65
Colorado	Baca County	1097.36
